Country,"Malnutrition death rate (per 100,000)",Malnutrition,GDP,Population,Continent 
Yemen,4.47,447000,701.71,31546694,Asia
Papua New Guinea,4.54,454000,3948.00,9542492,Australia
Cote d'Ivoire,4.65,465000,5127.00,26147544,Africa
Dominican Republic,4.65,465000,18171.00,10881886,N. America
Laos,4.76,476000,7840.00,7212058,Asia
Philippines,5.00,500000,8732.00,110380800,Asia
Ecuador,5.11,511000,11390.00,17343742,S. America
Cambodia,5.14,514000,4464.00,16207746,Asia
Cameroon,5.20,520000,3757.00,25782342,Africa
Nepal,5.22,522000,3922.00,28832500,Asia
Tuvalu,5.25,525000,4817.00,10983,Australia
Equatorial Guinea,5.29,529000,16240.00,1553037,Africa
Togo,5.38,538000,2081.00,8243093,Africa
Paraguay,5.45,545000,13610.00,6530029,S. America
Nauru,5.85,585000,12001.00,12156,Australia
Marshall Islands,6.01,601000,5647.00,44750,Australia
Mexico,6.56,656000,20065.00,125085312,N. America
Gabon,6.74,674000,14478.00,2242788,Africa
Benin,7.64,764000,3156.00,12290443,Africa
Niger,7.81,781000,1217.00,23443400,Africa
Guyana,7.82,782000,12820.00,798761,S. America
Gambia,8.04,804000,2083.00,2508882,Africa
Haiti,8.23,823000,3102.00,11160441,N. America
Solomon Islands,8.38,838000,2617.00,675000,Australia
Vanuatu,8.50,850000,3070.00,304414,Australia
East Timor,8.62,862000,3738.00,1280442,Asia
Eswatini,9.26,926000,8501.00,1169620,Africa
Guinea-Bissau,9.37,937000,1891.00,1970460,Africa
Namibia,9.39,939000,10010.00,2446648,Africa
Ghana,9.56,956000,5346.00,31522294,Africa
Botswana,9.80,980000,15118.00,2499705,Africa
Bolivia,10.07,1007000,8529.00,11777318,S. America
Congo,10.36,1036000,3695.00,5570736,Africa
Democratic Republic of Congo,11.52,1152000,1060.00,89906896,Africa
Lesotho,11.69,1169000,2533.00,2225710,Africa
Liberia,11.75,1175000,1456.00,4985290,Africa
Guinea,12.21,1221000,2545.00,12877537,Africa
Comoros,12.54,1254000,3291.00,790993,Africa
Mauritania,12.69,1269000,5506.00,4383853,Africa
Ethiopia,12.90,1290000,2182.00,114120592,Africa
Uganda,13.11,1311000,2250.00,42949076,Africa
Sierra Leone,13.12,1312000,1656.00,8046830,Africa
Rwanda,13.52,1352000,2191.00,12835029,Africa
Indonesia,14.53,1453000,11858.00,269582880,Asia
Angola,15.04,1504000,6602.00,32353592,Africa
Tanzania,15.37,1537000,2578.00,59872584,Africa
Kenya,15.40,1540000,4601.00,50951452,Africa
Burkina Faso,16.16,1616000,2110.00,20951638,Africa
