Country,"Malnutrition death rate (per 100,000)",Malnutrition,GDP,Population,Continent 
Nicaragua,2.96,296000,"$5,349","6,663,919",N. America
Honduras,3.2,320000,"$5,614","9,958,832",N. America
Myanmar,3.31,331000,"$4,830","53,040,212",Asia
Pakistan,3.5,350000,"$5,158","223,293,280",Asia
Peru,3.55,355000,"$12,735","32,824,864",S. America
Brazil,3.66,366000,"$14,685","211,782,880",S. America
Senegal,3.68,368000,"$3,430","16,000,783",Africa
Samoa,3.7,370000,"$6,346","211,915",Australia
Fiji,3.94,394000,"$13,241","918,472",Australia
Belize,4.2,420000,"$9,029","389,103",N. America
Tonga,4.32,432000,"$6,344","104,965",Australia
South Africa,4.45,445000,"$13,852","58,087,060",Africa
El Salvador,4.46,446000,"$9,021","6,280,222",N. America
Yemen,4.47,447000,$701.71,"31,546,694",Asia
Papua New Guinea,4.54,454000,"$3,948","9,542,492",Australia
Cote d'Ivoire,4.65,465000,"$5,127","26,147,544",Africa
Dominican Republic,4.65,465000,"$18,171","10,881,886",N. America
Laos,4.76,476000,"$7,840","7,212,058",Asia
Philippines,5,500000,"$8,732","110,380,800",Asia
Ecuador,5.11,511000,"$11,390","17,343,742",S. America
Cambodia,5.14,514000,"$4,464","16,207,746",Asia
Cameroon,5.2,520000,"$3,757","25,782,342",Africa
Nepal,5.22,522000,"$3,922","28,832,500",Asia
Tuvalu,5.25,525000,"$4,817","10,983",Australia
Equatorial Guinea,5.29,529000,"$16,240","1,553,037",Africa
Togo,5.38,538000,"$2,081","8,243,093",Africa
Paraguay,5.45,545000,"$13,610","6,530,029",S. America
Nauru,5.85,585000,"$12,001","12,156",Australia
Marshall Islands,6.01,601000,"$5,647","44,750",Australia
Mexico,6.56,656000,"$20,065","125,085,312",N. America
Gabon,6.74,674000,"$14,478","2,242,788",Africa
Benin,7.64,764000,"$3,156","12,290,443",Africa
Niger,7.81,781000,"$1,217","23,443,400",Africa
Guyana,7.82,782000,"$12,820","798,761",S. America
Gambia,8.04,804000,"$2,083","2,508,882",Africa
Haiti,8.23,823000,"$3,102","11,160,441",N. America
Solomon Islands,8.38,838000,"$2,617","675,000",Australia
Vanuatu,8.5,850000,"$3,070","304,414",Australia
East Timor,8.62,862000,"$3,738","1,280,442",Asia
Eswatini,9.26,926000,"$8,501","1,169,620",Africa
Guinea-Bissau,9.37,937000,"$1,891","1,970,460",Africa
Namibia,9.39,939000,"$10,010","2,446,648",Africa
Ghana,9.56,956000,"$5,346","31,522,294",Africa
Botswana,9.8,980000,"$15,118","2,499,705",Africa
Bolivia,10.07,1007000,"$8,529","11,777,318",S. America
Congo,10.36,1036000,"$3,695","5,570,736",Africa
Democratic Republic of Congo,11.52,1152000,"$1,060","89,906,896",Africa
Lesotho,11.69,1169000,"$2,533","2,225,710",Africa
Liberia,11.75,1175000,"$1,456","4,985,290",Africa
Guinea,12.21,1221000,"$2,545","12,877,537",Africa
Comoros,12.54,1254000,"$3,291","790,993",Africa
Mauritania,12.69,1269000,"$5,506","4,383,853",Africa
Ethiopia,12.9,1290000,"$2,182","114,120,592",Africa
Uganda,13.11,1311000,"$2,250","42,949,076",Africa
Sierra Leone,13.12,1312000,"$1,656","8,046,830",Africa
Rwanda,13.52,1352000,"$2,191","12,835,029",Africa
Indonesia,14.53,1453000,"$11,858","269,582,880",Asia
Angola,15.04,1504000,"$6,602","32,353,592",Africa
Tanzania,15.37,1537000,"$2,578","59,872,584",Africa
Kenya,15.4,1540000,"$4,601","50,951,452",Africa
Burkina Faso,16.16,1616000,"$2,110","20,951,638",Africa
Chad,16.39,1639000,"$1,562","16,126,868",Africa
Mozambique,17.43,1743000,"$1,285","30,285,602",Africa
Zambia,17.69,1769000,"$3,372","18,380,478",Africa
Malawi,17.98,1798000,"$1,518","18,867,340",Africa
Guatemala,18.63,1863000,"$8,672","17,106,338",N. America
Burundi,24.46,2446000,$730,"11,874,838",Africa
Kiribati,25.24,2524000,"$1,991","124,252",Australia
South Sudan,25.51,2551000,"1,071.78","10,447,677",Africa
Djibouti,27.07,2707000,"$4,768","1,073,999",Africa
Zimbabwe,27.38,2738000,"$2,203","15,354,606",Africa
Eritrea,27.52,2752000,$643.79,"3,498,819",Africa
Madagascar,28.32,2832000,"$1,585","27,533,134",Africa
Central African Republic,29.51,2951000,$862,"5,209,329",Africa
Somalia,46.73,4673000,"$1,138","15,981,312",Africa
Mali,57.15,5715000,"$2,219","20,567,430",Africa
