Country or region,"Malnutrition death rate (per 100,000)",Malnutrition,GDP,Population
Senegal,3.68,368000,"$3,430","16,000,783"
Samoa,3.7,370000,"$6,346","211,915"
Fiji,3.94,394000,"$13,241","918,472"
Niue,3.95,395000,,"1,943"
Northern Mariana Islands,4.15,415000,,"49,880"
Belize,4.2,420000,"$9,029","389,103"
Tonga,4.32,432000,"$6,344","104,965"
South Africa,4.45,445000,"$13,852","58,087,060"
El Salvador,4.46,446000,"$9,021","6,280,222"
Yemen,4.47,447000,,"31,546,694"
Papua New Guinea,4.54,454000,"$3,948","9,542,492"
Cote d'Ivoire,4.65,465000,"$5,127","26,147,544"
Dominican Republic,4.65,465000,"$18,171","10,881,886"
Laos,4.76,476000,"$7,840","7,212,058"
Philippines,5,500000,"$8,732","110,380,800"
Ecuador,5.11,511000,"$11,390","17,343,742"
Cambodia,5.14,514000,"$4,464","16,207,746"
Cameroon,5.2,520000,"$3,757","25,782,342"
Nepal,5.22,522000,"$3,922","28,832,500"
Tuvalu,5.25,525000,"$4,817","10,983"
Equatorial Guinea,5.29,529000,"$16,240","1,553,037"
Togo,5.38,538000,"$2,081","8,243,093"
Paraguay,5.45,545000,"$13,610","6,530,029"
American Samoa,5.66,566000,,"47,341"
Sao Tome and Principe,5.83,583000,"$4,014","214,612"
Nauru,5.85,585000,"$12,001","12,156"
Marshall Islands,6.01,601000,"$5,647","44,750"
Saint Vincent and the Grenadines,6.08,608000,"$14,190","104,940"
Saint Kitts and Nevis,6.54,654000,"$31,195","47,739"
Mexico,6.56,656000,"$20,065","125,085,312"
Micronesia (country),6.56,656000,"$3,541","111,392"
Gabon,6.74,674000,"$14,478","2,242,788"
Benin,7.64,764000,"$3,156","12,290,443"
Niger,7.81,781000,"$1,217","23,443,400"
Guyana,7.82,782000,"$12,820","798,761"
Gambia,8.04,804000,"$2,083","2,508,882"
Haiti,8.23,823000,"$3,102","11,160,441"
Solomon Islands,8.38,838000,"$2,617","675,000"
Vanuatu,8.5,850000,"$3,070","304,414"
East Timor,8.62,862000,"$3,738","1,280,442"
Eswatini,9.26,926000,"$8,501","1,169,620"
Guinea-Bissau,9.37,937000,"$1,891","1,970,460"
