Country,"Malnutrition death rate (per 100,000)",Malnutrition,GDP,Population,Continent 
Yemen,4.47,447000,701.7,31546694,Asia
Papua New Guinea,4.54,454000,3948.0,9542492,Australia
Cote d'Ivoire,4.65,465000,5127.0,26147544,Africa
Dominican Republic,4.65,465000,18171.0,10881886,N. America
Laos,4.76,476000,7840.0,7212058,Asia
Philippines,5.00,500000,8732.0,110380800,Asia
Ecuador,5.11,511000,11390.0,17343742,S. America
Cambodia,5.14,514000,4464.0,16207746,Asia
Cameroon,5.20,520000,3757.0,25782342,Africa
Nepal,5.22,522000,3922.0,28832500,Asia
Tuvalu,5.25,525000,4817.0,10983,Australia
Equatorial Guinea,5.29,529000,16240.0,1553037,Africa
Togo,5.38,538000,2081.0,8243093,Africa
Paraguay,5.45,545000,13610.0,6530029,S. America
Nauru,5.85,585000,12001.0,12156,Australia
Marshall Islands,6.01,601000,5647.0,44750,Australia
Mexico,6.56,656000,20065.0,125085312,N. America
Gabon,6.74,674000,14478.0,2242788,Africa
Benin,7.64,764000,3156.0,12290443,Africa
Niger,7.81,781000,1217.0,23443400,Africa
Guyana,7.82,782000,12820.0,798761,S. America
Gambia,8.04,804000,2083.0,2508882,Africa
Haiti,8.23,823000,3102.0,11160441,N. America
Solomon Islands,8.38,838000,2617.0,675000,Australia
Vanuatu,8.50,850000,3070.0,304414,Australia
East Timor,8.62,862000,3738.0,1280442,Asia
Eswatini,9.26,926000,8501.0,1169620,Africa
Guinea-Bissau,9.37,937000,1891.0,1970460,Africa
Namibia,9.39,939000,10010.0,2446648,Africa
Ghana,9.56,956000,5346.0,31522294,Africa
Botswana,9.80,980000,15118.0,2499705,Africa
Bolivia,10.07,1007000,8529.0,11777318,S. America
Congo,10.36,1036000,3695.0,5570736,Africa
Democratic Republic of Congo,11.52,1152000,1060.0,89906896,Africa
Lesotho,11.69,1169000,2533.0,2225710,Africa
Liberia,11.75,1175000,1456.0,4985290,Africa
Guinea,12.21,1221000,2545.0,12877537,Africa
Comoros,12.54,1254000,3291.0,790993,Africa
Mauritania,12.69,1269000,5506.0,4383853,Africa
Ethiopia,12.90,1290000,2182.0,114120592,Africa
Uganda,13.11,1311000,2250.0,42949076,Africa
Sierra Leone,13.12,1312000,1656.0,8046830,Africa
Rwanda,13.52,1352000,2191.0,12835029,Africa
Indonesia,14.53,1453000,11858.0,269582880,Asia
Angola,15.04,1504000,6602.0,32353592,Africa
Tanzania,15.37,1537000,2578.0,59872584,Africa
Kenya,15.40,1540000,4601.0,50951452,Africa
Burkina Faso,16.16,1616000,2110.0,20951638,Africa
Chad,16.39,1639000,1562.0,16126868,Africa
Mozambique,17.43,1743000,1285.0,30285602,Africa
Zambia,17.69,1769000,3372.0,18380478,Africa
Malawi,17.98,1798000,1518.0,18867340,Africa
Guatemala,18.63,1863000,8672.0,17106338,N. America
Burundi,24.46,2446000,730.0,11874838,Africa
Kiribati,25.24,2524000,1991.0,124252,Australia
South Sudan,25.51,2551000,1071.8,10447677,Africa
Djibouti,27.07,2707000,4768.0,1073999,Africa
Zimbabwe,27.38,2738000,2203.0,15354606,Africa
Eritrea,27.52,2752000,643.8,3498819,Africa
Madagascar,28.32,2832000,1585.0,27533134,Africa
Central African Republic,29.51,2951000,862.0,5209329,Africa
Somalia,46.73,4673000,1138.0,15981312,Africa
Mali,57.15,5715000,2219.0,20567430,Africa
